selection_scope,repeat,model,target,best_params_json,optimization_mean_MAE,MAE,RMSE,R2,MedAE,Q90_AE,Q95_AE,Max_AE,n_samples
frozen_training_partition_only,2,KernelRidge,LUMO,"{""alpha"": 0.6434067694148241, ""gamma"": 0.05002253264316172}",0.12962015624025075,0.13156456566361238,0.2761698199837229,0.8345275544076671,0.05877583096168437,0.299695496346935,0.38482345523069333,1.566421818026459,45
frozen_training_partition_only,3,KernelRidge,LUMO,"{""alpha"": 0.6434067694148241, ""gamma"": 0.05002253264316172}",0.12962015624025075,0.1265207028492288,0.17895337230432656,0.9153295342460606,0.0760168425060912,0.261905112768249,0.3319319539958585,0.633883403715664,45
frozen_training_partition_only,4,KernelRidge,LUMO,"{""alpha"": 0.6434067694148241, ""gamma"": 0.05002253264316172}",0.12962015624025075,0.1489110320484171,0.22375044937530872,0.9078919634337773,0.09924891108446274,0.31887870500268756,0.36647687314314775,0.8541599745952171,45
frozen_training_partition_only,5,KernelRidge,LUMO,"{""alpha"": 0.6434067694148241, ""gamma"": 0.05002253264316172}",0.12962015624025075,0.11425445909812107,0.1812686849088296,0.9230349483374306,0.056967676692496694,0.3348015693828352,0.39778205180425175,0.6274729871400586,45
frozen_training_partition_only,1,RandomForest,LUMO,"{""max_depth"": 17, ""max_features"": ""log2"", ""min_samples_leaf"": 4, ""min_samples_split"": 7, ""n_estimators"": 748}",0.11873132959050721,0.11717039730823961,0.27116650543428666,0.8538112326407872,0.05010798116237902,0.2107471572280282,0.3067274671349575,1.6326061572059363,45
frozen_training_partition_only,2,RandomForest,LUMO,"{""max_depth"": 17, ""max_features"": ""log2"", ""min_samples_leaf"": 4, ""min_samples_split"": 7, ""n_estimators"": 748}",0.11873132959050721,0.13151025253273446,0.2730787801032787,0.8382109368948379,0.06896910312326376,0.232746050491724,0.319225629021122,1.5758417147873027,45
frozen_training_partition_only,3,RandomForest,LUMO,"{""max_depth"": 17, ""max_features"": ""log2"", ""min_samples_leaf"": 4, ""min_samples_split"": 7, ""n_estimators"": 748}",0.11873132959050721,0.10664195801896786,0.15569019801063425,0.9359122954052792,0.05811714607331675,0.25554074420809314,0.35504447499536584,0.5254585108594347,45
frozen_training_partition_only,4,RandomForest,LUMO,"{""max_depth"": 17, ""max_features"": ""log2"", ""min_samples_leaf"": 4, ""min_samples_split"": 7, ""n_estimators"": 748}",0.11873132959050721,0.12497193127382629,0.17728462558751604,0.9421755059772912,0.07954404197379789,0.3026172885226874,0.3395231302684836,0.5685575676133441,45
frozen_training_partition_only,5,RandomForest,LUMO,"{""max_depth"": 17, ""max_features"": ""log2"", ""min_samples_leaf"": 4, ""min_samples_split"": 7, ""n_estimators"": 748}",0.11873132959050721,0.11336210881876765,0.16586054331707872,0.935563170344039,0.05076581376461764,0.2658161296759583,0.34580625787116853,0.5395664461094745,45
frozen_training_partition_only,1,XGBoost,LUMO,"{""colsample_bytree"": 0.712045954229751, ""gamma"": 0.004279058807822506, ""learning_rate"": 0.0019427274856389399, ""max_depth"": 7, ""min_child_weight"": 10, ""n_estimators"": 1361, ""reg_alpha"": 0.00017046360402012099, ""reg_lambda"": 3.8433402399478727, ""subsample"": 0.8289324399978041}",0.11385488608601886,0.12371411919013126,0.2766786249106272,0.8478075414759597,0.06168760086059555,0.22741609006957964,0.28211915267944315,1.6653172980957027,45
frozen_training_partition_only,2,XGBoost,LUMO,"{""colsample_bytree"": 0.712045954229751, ""gamma"": 0.004279058807822506, ""learning_rate"": 0.0019427274856389399, ""max_depth"": 7, ""min_child_weight"": 10, ""n_estimators"": 1361, ""reg_alpha"": 0.00017046360402012099, ""reg_lambda"": 3.8433402399478727, ""subsample"": 0.8289324399978041}",0.11385488608601886,0.1321455002061632,0.2778664761177821,0.8324881408566256,0.07335104290771532,0.2673622559997557,0.31485445259399386,1.6243569862060543,45
frozen_training_partition_only,3,XGBoost,LUMO,"{""colsample_bytree"": 0.712045954229751, ""gamma"": 0.004279058807822506, ""learning_rate"": 0.0019427274856389399, ""max_depth"": 7, ""min_child_weight"": 10, ""n_estimators"": 1361, ""reg_alpha"": 0.00017046360402012099, ""reg_lambda"": 3.8433402399478727, ""subsample"": 0.8289324399978041}",0.11385488608601886,0.09919281595052083,0.15202643824421386,0.9388930768936309,0.0603626434020994,0.2608216088012696,0.33623668084106395,0.523535995513916,45
frozen_training_partition_only,4,XGBoost,LUMO,"{""colsample_bytree"": 0.712045954229751, ""gamma"": 0.004279058807822506, ""learning_rate"": 0.0019427274856389399, ""max_depth"": 7, ""min_child_weight"": 10, ""n_estimators"": 1361, ""reg_alpha"": 0.00017046360402012099, ""reg_lambda"": 3.8433402399478727, ""subsample"": 0.8289324399978041}",0.11385488608601886,0.11390632462972013,0.1657362993563406,0.9494635225207155,0.07024248800659172,0.2723364082458495,0.2957650567199712,0.591355982147217,45
frozen_training_partition_only,5,XGBoost,LUMO,"{""colsample_bytree"": 0.712045954229751, ""gamma"": 0.004279058807822506, ""learning_rate"": 0.0019427274856389399, ""max_depth"": 7, ""min_child_weight"": 10, ""n_estimators"": 1361, ""reg_alpha"": 0.00017046360402012099, ""reg_lambda"": 3.8433402399478727, ""subsample"": 0.8289324399978041}",0.11385488608601886,0.10031567045355896,0.14676194516269508,0.9495484032706716,0.05546473831176746,0.25756407389526326,0.3289150199829105,0.4963354445190431,45
