model,target,energy_target_mode,weight_scheme,cv_mae_mean,cv_mae_std,cv_rmse_mean,cv_rmse_std,cv_r2_mean,cv_r2_std,cv_medae_mean,cv_q90ae_mean,cv_q95ae_mean,n_outer_folds
ElasticNet,Final Energy,delta_energy_per_atom,none,2629.5738922416535,1832.420697738758,3375.824905313383,2229.5201793989436,-1.1979857369558817,2.5385919667100403,2595.2302957331476,4780.01161551903,5826.445124648224,15
Ridge,Final Energy,delta_energy_per_atom,none,3595.3429008279218,3323.3715777460457,4599.249599065882,4225.927925023082,-1.400515590149572,2.02000125100193,4286.260879408394,6695.224066774917,7392.706734329952,15
LinearRegression,Final Energy,delta_energy_per_atom,none,5414.093016364163,6397.078583851392,7018.441226892334,8319.885411193336,-4.067055835355645,5.643398657081213,6599.351275546523,10390.543404265312,11668.929085161839,15
RandomForest,Final Energy,delta_energy_per_atom,robust,1605.650259027036,642.9698692423016,2387.1768612147575,911.0129094441629,-0.2284765259256836,0.9374257579968653,1231.413646007971,3371.6704489792446,4508.929730668078,15
XGBoost,Final Energy,delta_energy_per_atom,robust,1726.8423468965473,719.6353162544551,2559.9231958762334,960.0185622507167,-0.33934766973556724,1.0338035203431748,1113.7401692428407,3483.78512134558,4778.546689821252,15
RandomForest,Final Energy,delta_energy_per_atom,soft,1742.539912111619,636.025745995583,2516.125725763795,844.7053569137533,-0.5142648653960479,1.324242121622546,1237.03731076611,3776.391469317357,5049.997998744586,15
XGBoost,Final Energy,delta_energy_per_atom,soft,1879.9431993255712,722.5239620466954,2621.1316652897567,921.2421151356962,-0.5804830870773837,1.5882964422772512,1508.0110838057537,3856.116285832872,4978.465162577431,15
RandomForest,Final Energy,final_energy_direct,none,2705.662409337447,2166.5951951499887,3646.09577037554,2611.486768431963,-0.42847044612075186,0.5009877237760817,2828.1465592075683,5636.7770193433535,6603.06684022141,15
XGBoost,Final Energy,final_energy_direct,none,2852.204708713517,2145.725128985105,3984.5564519197715,2548.0482055995776,-1.0481959671881467,0.9217417814761698,2849.5833182162773,6317.001876475021,7261.253754893453,15
LinearRegression,Final Energy,final_energy_direct,none,2913.0593005441283,1394.817784171422,3657.878640922122,1532.7838943345653,-1.244237013143812,1.6137401303255812,2913.064185534662,5249.318313616708,6271.655154479,15
Ridge,Final Energy,final_energy_direct,none,3148.5694290684087,2133.4228759801977,3954.5516539040923,2573.719302480985,-1.060306895275779,1.380749862668103,3744.275547491662,5566.926531005802,6412.54892177385,15
ElasticNet,Final Energy,final_energy_direct,none,3299.7104256646467,2328.802039523336,4180.7705067921725,2825.7726078895257,-1.2167645345097504,1.3820607376728717,3815.017823651958,6017.871786420166,6858.228439477873,15
KernelRidge,Final Energy,final_energy_direct,none,3372.7581401811312,2643.5393620523114,4415.708630395752,3118.01211336783,-1.5870203398536296,1.7777149574438447,4114.716702442543,6265.3940994786535,7137.799334222695,15
RandomForest,Final Energy,final_energy_direct,robust,2835.539862747045,2248.0671586972576,3848.458334418621,2710.346015212449,-0.6603081947959922,0.7028142245153842,2980.171382560272,5903.685749635973,7145.7553173194665,15
XGBoost,Final Energy,final_energy_direct,robust,3117.0655268286514,2341.2659694782137,4192.495406471157,2789.810646177066,-1.0789688297725264,0.9087762061750368,3339.6679345738767,6744.750120310896,7368.001425554817,15
RandomForest,Final Energy,final_energy_direct,soft,2731.206741710527,2151.2478207205254,3711.756998880042,2578.950930209387,-0.5806303413277761,0.71277680794715,2780.872480801727,5824.32831815099,6838.695004072114,15
XGBoost,Final Energy,final_energy_direct,soft,3067.9094392832485,2272.4708396100805,4146.387769197579,2680.3314000284504,-1.1049816811542819,0.9284953536115675,3291.677287999181,6590.336370562832,7399.433474627056,15
RandomForest,delta_energy,delta_energy,none,2599.7222798290386,2044.5893276302554,3540.032268483073,2453.0083673156646,-0.4261629993450053,0.5096784020241066,2680.3822133642184,5497.788656420144,6444.5389894261425,15
XGBoost,delta_energy,delta_energy,none,2816.9717451550487,2100.2225492148395,3900.752179248372,2422.8349196084946,-0.9551845757105363,0.7988157085764542,2902.7683925707315,6101.81411657641,6881.471594581714,15
LinearRegression,delta_energy,delta_energy,none,2916.2601724597366,1392.2498111836803,3661.194758566615,1530.847387280488,-1.2740735515924662,1.5751259554429828,2914.9555252380346,5250.963685809105,6273.025583765289,15
Ridge,delta_energy,delta_energy,none,3113.396986774135,2064.978513262327,3902.187081328046,2488.9881077899577,-1.0634952511238611,1.3367678532424954,3705.447369742761,5473.583073656273,6312.146162706529,15
ElasticNet,delta_energy,delta_energy,none,3259.596215635681,2241.8925366649164,4128.605138864222,2712.964576188402,-1.2339063108134516,1.33952323080845,3763.539930108666,5948.738550905199,6802.299336453411,15
KernelRidge,delta_energy,delta_energy,none,3356.224475060813,2486.816547893957,4413.947967145514,2893.086382450122,-1.9282951101646462,2.205913624119518,4068.011257783948,6166.2188452629425,7136.396246084568,15
RandomForest,delta_energy,delta_energy,robust,2874.636154942323,2402.1594473398986,3879.1051058839503,2865.198719522592,-0.638646117995038,0.7147894369009101,3151.5989843526345,5918.436552868691,7028.907168482342,15
XGBoost,delta_energy,delta_energy,robust,3146.296550296345,2405.5838711397087,4224.136014348768,2862.4769019999694,-1.0950689171969978,0.8812760812080387,3434.6385733470424,6681.2991902989725,7568.537932285735,15
RandomForest,delta_energy,delta_energy,soft,2724.198506379618,2102.335063616118,3695.12640315789,2536.8058436229285,-0.5644180108869689,0.5723151044021275,2800.8211564766534,5760.0974342543295,6792.049824270934,15
XGBoost,delta_energy,delta_energy,soft,3059.1421532074396,2388.027419186387,4125.750380386683,2807.4872699511175,-1.0381624569937673,0.8386871997830401,3314.4150658895637,6479.026058576844,7256.435810407514,15
RandomForest,delta_energy_per_atom,delta_energy_per_atom,none,13.128841086053743,3.9214836299140643,21.427281658603516,7.970547899614623,-0.4757964523969183,1.0945832106464621,8.455806922433553,28.283176274344683,40.416063175222355,15
XGBoost,delta_energy_per_atom,delta_energy_per_atom,none,13.253605149196597,4.988850048151757,21.610827952323337,8.461485790747648,-0.43267503087115294,0.9106002244909142,8.757506301832938,28.958113107875025,41.67088936209415,15
KernelRidge,delta_energy_per_atom,delta_energy_per_atom,none,14.42498120351502,4.651788301600932,23.10065050552128,8.749791811115973,-0.6269579563277634,1.221521163490986,9.564391688644081,26.212248284587908,38.13420117046423,15
ElasticNet,delta_energy_per_atom,delta_energy_per_atom,none,15.163196946210727,5.819212516056089,22.80196164616501,10.22912202563475,-0.28418924640499915,0.3684438243433114,10.803080682127295,25.793148575267153,35.234728782332425,15
Ridge,delta_energy_per_atom,delta_energy_per_atom,none,16.45452201175901,6.192924535107337,23.26273723382506,9.680747744355767,-0.3852866638175773,0.41857410920421456,13.533763728952227,26.689362847791685,35.73978909416554,15
LinearRegression,delta_energy_per_atom,delta_energy_per_atom,none,21.72966589122618,10.30341982156626,29.25541786081135,11.868649074592279,-1.913169608919503,2.0694443282791184,20.733892087540767,36.388706141146784,48.73970255386692,15
RandomForest,delta_energy_per_atom,delta_energy_per_atom,robust,11.604570077414154,4.6261919280618775,20.593124433195594,9.305682124311426,-0.1696729629239023,0.628897299197564,7.650285649580718,21.797437755928023,32.45655460515471,15
XGBoost,delta_energy_per_atom,delta_energy_per_atom,robust,12.114388993466884,5.1147013212195525,21.796533259113144,10.129665512574224,-0.2938678996929245,0.9502154755159203,6.5600418490270105,24.715712839021034,35.40132883378832,15
RandomForest,delta_energy_per_atom,delta_energy_per_atom,soft,12.431634717242344,4.529370403410266,20.82213891277274,8.56391177659889,-0.281255076010974,0.759101163415893,8.025841772201815,24.795421284365222,36.214649243419,15
XGBoost,delta_energy_per_atom,delta_energy_per_atom,soft,12.838606907256759,4.902596693956054,21.32164389180256,9.356442283467679,-0.20449664656286215,0.5597532702109594,9.084747272689162,25.93956021304878,35.70566292779374,15
RandomForest,final_energy_direct,final_energy_direct,none,2705.662409337447,2166.5951951499887,3646.09577037554,2611.486768431963,-0.42847044612075186,0.5009877237760817,2828.1465592075683,5636.7770193433535,6603.06684022141,15
XGBoost,final_energy_direct,final_energy_direct,none,2852.204708713517,2145.725128985105,3984.5564519197715,2548.0482055995776,-1.0481959671881467,0.9217417814761698,2849.5833182162773,6317.001876475021,7261.253754893453,15
LinearRegression,final_energy_direct,final_energy_direct,none,2913.0593005441283,1394.817784171422,3657.878640922122,1532.7838943345653,-1.244237013143812,1.6137401303255812,2913.064185534662,5249.318313616708,6271.655154479,15
Ridge,final_energy_direct,final_energy_direct,none,3148.5694290684087,2133.4228759801977,3954.5516539040923,2573.719302480985,-1.060306895275779,1.380749862668103,3744.275547491662,5566.926531005802,6412.54892177385,15
ElasticNet,final_energy_direct,final_energy_direct,none,3299.7104256646467,2328.802039523336,4180.7705067921725,2825.7726078895257,-1.2167645345097504,1.3820607376728717,3815.017823651958,6017.871786420166,6858.228439477873,15
KernelRidge,final_energy_direct,final_energy_direct,none,3372.7581401811312,2643.5393620523114,4415.708630395752,3118.01211336783,-1.5870203398536296,1.7777149574438447,4114.716702442543,6265.3940994786535,7137.799334222695,15
RandomForest,final_energy_direct,final_energy_direct,robust,2835.539862747045,2248.0671586972576,3848.458334418621,2710.346015212449,-0.6603081947959922,0.7028142245153842,2980.171382560272,5903.685749635973,7145.7553173194665,15
XGBoost,final_energy_direct,final_energy_direct,robust,3117.0655268286514,2341.2659694782137,4192.495406471157,2789.810646177066,-1.0789688297725264,0.9087762061750368,3339.6679345738767,6744.750120310896,7368.001425554817,15
RandomForest,final_energy_direct,final_energy_direct,soft,2731.206741710527,2151.2478207205254,3711.756998880042,2578.950930209387,-0.5806303413277761,0.71277680794715,2780.872480801727,5824.32831815099,6838.695004072114,15
XGBoost,final_energy_direct,final_energy_direct,soft,3067.9094392832485,2272.4708396100805,4146.387769197579,2680.3314000284504,-1.1049816811542819,0.9284953536115675,3291.677287999181,6590.336370562832,7399.433474627056,15
