Sample_Index,group_id,sample_id,Folder,File,SMILES,Number_of_Atoms,Calculated_LUMO,Predicted_LUMO,Baseline_LUMO_xTB,Residual_LUMO,Abs_Error_LUMO,Baseline_Residual_LUMO_xTB,Baseline_Abs_Error_LUMO_xTB,Improvement_vs_Baseline,Model_Better_Than_Baseline,High_Error_Flag_Q90,Outlier_Flag_IQR,Error_Rank
253,Group 21,Group 21/250.log,Group 21,250.log,CC(C1=CC2=C(OCCSCCCCCCCC)C(SC3=CC(C(C)(C)C)=CC(SC4=CC(C(C)(C)C)=CC(SC5=CC(C(C)(C)C)=CC(S2)=C5OCCCC6=CN(C7=CC(C8=NC=CC=C8)=NC(C9=CC=CC=N9)=C7)N=N6)=C4OCCSCCCCCCCC)=C3OCCCC%10=CN(C%11=CC(C%12=NC=CC=C%12)=NC(C%13=CC=CC=N%13)=C%11)N=N%10)=C1)(C)C,242,-1.970104,-1.9262004091810159,-7.8287,0.043903590818984206,0.043903590818984206,-5.858596,5.858596,5.814692409181016,True,False,False,30
121,Group 10,Group 10/118.log,Group 10,118.log,NNC1=CC(C2=NC=CC=C2)=NC(C3=CC=CC=N3)=C1,33,-1.20376,-1.161480808541767,-7.0826,0.042279191458233,0.042279191458233,-5.87884,5.87884,5.836560808541767,True,False,False,31
125,Group 10,Group 10/122.log,Group 10,122.log,CC(C1=CC2=C(OCCCCCSC3=CC(C4=NC=CC=C4)=NC(C5=CC=CC=N5)=C3)C(SC6=CC(C(C)(C)C)=CC(SC7=CC(C(C)(C)C)=CC(SC8=CC(C(C)(C)C)=CC(S2)=C8OCCCCCSC9=CC(C%10=NC=CC=C%10)=NC(C%11=CC=CC=N%11)=C9)=C7OCCCCCSC%12=CC(C%13=NC=CC=C%13)=NC(C%14=CC=CC=N%14)=C%12)=C6OCCCCCSC%15=CC(C%16=NC=CC=C%16)=NC(C%17=CC=CC=N%17)=C%15)=C1)(C)C,268,-1.51968,-1.4822611819997018,-7.3603,0.037418818000298115,0.037418818000298115,-5.8406199999999995,5.8406199999999995,5.803201181999701,True,False,False,32
22,Group 3,Group 3/23.log,Group 3,23.log,ClC1=CC(CC2=C3)=C(OCCCCCCCCCCCC)C(CC4=CC(C(C)(C)C)=CC(CC5=CC(Cl)=CC(CC(C=C3C(C)(C)C)=C2OCCCC)=C5OCCCCCCCCCCCC)=C4OCCCC)=C1,176,-0.426723,-0.46351792322429564,-6.3048,-0.03679492322429562,0.03679492322429562,-5.878077,5.878077,5.8412820767757045,True,False,False,33
255,Group 21,Group 21/252.log,Group 21,252.log,CC(C1=CC2=C(OCCSCCCCCCCC)C(SC3=CC(C(C)(C)C)=CC(SC4=CC(C(C)(C)C)=CC(SC5=CC(C(C)(C)C)=CC(S2)=C5OCCCOC6=CC(C7=NC=CC=C7)=NC(C8=CC=CC=N8)=C6)=C4OCCSCCCCCCCC)=C3OCCCOC9=CC(C%10=NC=CC=C%10)=NC(C%11=CC=CC=N%11)=C9)=C1)(C)C,232,-1.447816,-1.47916278476675,-7.3773,-0.0313467847667499,0.0313467847667499,-5.929484,5.929484,5.89813721523325,True,False,False,34
4,Group 1,Group 1/5.log,Group 1,5.log,OC1=C(SC2=C(C(SC3=C(O)C(S4)=CC=C3)=CC=C2)O)C=CC=C1SC5=C(O)C4=CC=C5,48,-1.283951,-1.2616624113366104,-7.2734,0.022288588663389675,0.022288588663389675,-5.989449,5.989449,5.96716041133661,True,False,False,35
222,Group 17,Group 17/219.log,Group 17,219.log,CC(C1=CC2=C(OCCCCC3=CC(C4=CC=CC=C4)=NO3)C(SC5=CC(C(C)(C)C)=CC(SC6=CC(C(C)(C)C)=CC(SC7=CC(C(C)(C)C)=CC(S2)=C7OCCCCC8=CC(C9=CC=CC=C9)=NO8)=C6OCCCCC%10=CC(C%11=CC=CC=C%11)=NO%10)=C5OCCCCC%12=CC(C%13=CC=CC=C%13)=NO%12)=C1)(C)C,208,-1.234808,-1.2163999367029028,-7.1205,0.0184080632970971,0.0184080632970971,-5.885692,5.885692,5.867283936702902,True,False,False,36
117,Group 10,Group 10/114.log,Group 10,114.log,O=S(OC1=CC(C2=NC=CC=C2)=NC(C3=CC=CC=N3)=C1)(C(F)(F)F)=O,36,-1.872661,-1.8551260689712201,-7.9697,0.017534931028779788,0.017534931028779788,-6.097039,6.097039,6.07950406897122,True,False,False,37
120,Group 10,Group 10/117.log,Group 10,117.log,CC(C1=CC2=C(OCCCCCOC3=CC(C4=NC=CC=C4)=NC(C5=CC=CC=N5)=C3)C(SC6=CC(C(C)(C)C)=CC(SC7=CC(C(C)(C)C)=CC(SC8=CC(C(C)(C)C)=CC(S2)=C8OCCCCCOC9=CC(C%10=NC=CC=C%10)=NC(C%11=CC=CC=N%11)=C9)=C7OCCCCCOC%12=CC(C%13=NC=CC=C%13)=NC(C%14=CC=CC=N%14)=C%12)=C6OCCCCCOC%15=CC(C%16=NC=CC=C%16)=NC(C%17=CC=CC=N%17)=C%15)=C1)(C)C,268,-1.395761,-1.4087452511061596,-7.293,-0.012984251106159528,0.012984251106159528,-5.897239,5.897239,5.884254748893841,True,False,False,38
123,Group 10,Group 10/120.log,Group 10,120.log,CCCCCCCCCCCCSC1=CC(C2=NC=CC=C2)=NC(C3=CC=CC=N3)=C1,66,-1.494782,-1.4835164616342675,-7.3971,0.01126553836573252,0.01126553836573252,-5.902318,5.902318,5.891052461634268,True,False,False,39
257,Group 21,Group 21/254.log,Group 21,254.log,C12=C(C(SC(C=CC=C3S4)=C3OCCSCCSCCOC(C(SC5=CC=CC4=C5OCCCOC6=CC(C7=NC=CC=C7)=NC(C8=CC=CC=N8)=C6)=CC=C9)=C9S2)=CC=C1)OCCCOC%10=CC(C%11=NC=CC=C%11)=NC(C%12=CC=CC=N%12)=C%10,140,-1.447707,-1.454144020160391,-7.4044,-0.006437020160390938,0.006437020160390938,-5.956693,5.956693,5.950255979839609,True,False,False,40
118,Group 10,Group 10/115.log,Group 10,115.log,CC(C1=CC2=C(OCCCOC3=CC(C4=NC=CC=C4)=NC(C5=CC=CC=N5)=C3)C(SC6=CC(C(C)(C)C)=CC(SC7=CC(C(C)(C)C)=CC(SC8=CC(C(C)(C)C)=CC(S2)=C8OCCCOC9=CC(C%10=NC=CC=C%10)=NC(C%11=CC=CC=N%11)=C9)=C7OCCCOC%12=CC(C%13=NC=CC=C%13)=NC(C%14=CC=CC=N%14)=C%12)=C6OCCCOC%15=CC(C%16=NC=CC=C%16)=NC(C%17=CC=CC=N%17)=C%15)=C1)(C)C,244,-1.423816,-1.420374723684244,-7.3193,0.003441276315756081,0.003441276315756081,-5.895484,5.895484,5.892042723684243,True,False,False,41
1,Group 1,Group 1/2.log,Group 1,2.log,OC1=C(CC2=C(C(CC3=C(O)C(CC4=CC(Br)=CC(CC1=C5)=C4O)=CC(Br)=C3)=CC(Br)=C2)O)C=C5Br,56,-1.218862,-1.222215978212871,-7.3075,-0.0033539782128710893,0.0033539782128710893,-6.088638,6.088638,6.085284021787129,True,False,False,42
16,Group 3,Group 3/17.log,Group 3,17.log,CC(C1=CC2=C(OCCC)C(SC3=CC(C(C)(C)C)=CC(SC4=CC(C(C)(C)C)=CC(SC5=CC(C(C)(C)C)=CC(S2)=C5OCCC)=C4OCCC)=C3OCCC)=C1)(C)C,132,-0.788275,-0.7869649010400961,-6.6271,0.0013100989599038604,0.0013100989599038604,-5.838825000000001,5.838825000000001,5.837514901040097,True,False,False,43
